City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,qiryat yam,32.8508,35.0703,16.72,54,24,3.31,IL,1670106643
294,santiago,-33.4569,-70.6483,29.19,30,0,8.23,CL,1670106581
295,kudahuvadhoo,2.6708,72.8944,26.32,79,88,4.17,MV,1670106105
296,caravelas,-17.7125,-39.2481,22.47,94,100,2.5,BR,1670106644
297,opuwo,-18.0607,13.84,23.19,37,51,0.99,NA,1670106149
298,whitecourt,54.1502,-115.6855,-8.42,73,75,5.14,CA,1670106644
299,half moon bay,37.4636,-122.4286,11.93,95,75,3.09,US,1670106076
300,noshiro,40.2039,140.0242,4.22,93,100,7.03,JP,1670106645
301,abu dhabi,24.4667,54.3667,24.01,78,0,1.03,AE,1670106461
302,rajauri,33.3833,74.3,11.04,25,4,2.57,IN,1670106645
303,casper,42.8666,-106.3131,3.33,41,0,10.8,US,1670106406
304,geraldton,-28.7667,114.6,21.23,78,100,4.63,AU,1670106645
305,alvor,37.1299,-8.5917,12.81,78,32,3.46,PT,1670106646
306,prince rupert,54.3161,-130.3201,0.83,57,0,1.03,CA,1670106646
307,lompoc,34.6391,-120.4579,17.66,94,100,5.14,US,1670106112
308,sao pedro do sul,-29.6206,-54.1789,25.36,93,75,1.93,BR,1670106634
309,coquimbo,-29.9533,-71.3436,16.85,77,20,4.63,CL,1670106094
310,smoky lake,54.1169,-112.4686,-11.6,67,66,4.63,CA,1670106647
311,talakan,50.3167,130.3667,-30.49,100,100,1.03,RU,1670106101
312,guerrero negro,27.9769,-114.0611,22.09,54,100,5.1,MX,1670106647
313,waingapu,-9.6567,120.2641,25.38,79,100,2.3,ID,1670106118
314,marawi,7.9986,124.2928,21.66,84,84,0.46,PH,1670106647
315,effingham,32.3669,-81.3332,23.97,80,62,1.91,US,1670106648
316,bambous virieux,-20.3428,57.7575,23.14,83,40,0.0,MU,1670106112
317,san luis,-33.295,-66.3356,31.52,20,1,5.5,AR,1670106072
318,waddan,29.1614,16.139,17.12,34,4,3.8,LY,1670106648
319,san sebastian,43.3128,-1.975,4.91,88,40,1.54,ES,1670106648
320,zhangye,38.9342,100.4517,-9.16,73,100,0.46,CN,1670106649
321,laurel,39.0993,-76.8483,16.5,84,75,4.12,US,1670106525
322,yerbogachen,61.2767,108.0108,-18.75,96,100,4.22,RU,1670106068
323,esperance,-33.8667,121.9,16.53,83,100,6.18,AU,1670106108
324,mitsamiouli,-11.3847,43.2844,27.16,74,20,1.54,KM,1670106083
325,dicabisagan,17.0818,122.4157,25.11,87,86,1.41,PH,1670106649
326,bagdarin,54.4333,113.6,-24.05,87,99,1.85,RU,1670106650
327,salalah,17.0151,54.0924,23.05,73,0,2.06,OM,1670106650
328,sorkjosen,69.8,20.9333,-5.0,74,6,2.06,NO,1670106650
329,kamen-na-obi,53.7884,81.3423,-23.14,100,92,0.67,RU,1670106651
330,troitskoye,52.9821,84.6757,-24.41,100,36,1.21,RU,1670106651
331,santa helena,-2.2311,-45.3,24.71,82,100,1.22,BR,1670106651
332,seoul,37.5683,126.9778,-3.34,36,0,4.63,KR,1670106652
333,buchanan,5.8808,-10.0467,24.93,89,63,2.79,LR,1670106080
334,nemuro,43.3236,145.575,2.02,64,57,6.61,JP,1670106652
335,hovd,48.0056,91.6419,-19.11,77,1,1.86,MN,1670106084
336,san juan,-31.5375,-68.5364,34.53,13,6,8.13,AR,1670106404
337,saint anthony,45.0205,-93.218,-10.03,66,0,5.14,US,1670106652
338,bonavista,48.6499,-53.1147,0.61,69,46,4.96,CA,1670106131
339,la esperanza,14.8667,-91.5667,15.29,93,100,10.29,GT,1670106653
340,grand-santi,4.25,-54.3833,22.47,98,94,1.63,GF,1670106653
341,kaseda,31.4167,130.3167,14.96,86,100,4.78,JP,1670106653
342,wembley,-31.9333,115.8,19.82,67,20,5.66,AU,1670106654
343,chambas,22.1928,-78.9136,24.74,62,78,6.01,CU,1670106654
344,madhupur,24.25,86.65,14.37,39,1,2.83,IN,1670106654
345,smithers,54.7804,-127.1743,-14.82,66,20,2.57,CA,1670106632
